campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,click_through_rate_percent,conversions,conversion_rate_percent,spend,revenue_generated,real_roas
548299,New User Discount,2024-11-05,Premium,App,3130,163,5.21,78,47.85,1431.85,4777.75,3.34
390914,Weekend Special,2024-11-05,Inactive,App,3925,494,12.59,45,9.11,4506.34,6238.11,1.38
834385,Festival Offer,2024-11-05,Inactive,Email,7012,370,5.28,78,21.08,4524.23,2621,0.58
241523,Flash Sale,2024-11-05,Inactive,SMS,1115,579,51.93,86,14.85,3622.79,2955,0.82
595111,Membership Drive,2024-11-05,New Users,Email,7172,795,11.08,54,6.79,2888.99,8951.81,3.10
176344,Category Promotion,2024-11-05,Inactive,App,4333,421,9.72,40,9.50,2714.78,6697.88,2.47
875646,App Push Notification,2024-11-05,Premium,Email,4752,937,19.72,21,2.24,3584.76,9152.99,2.55
5516,Email Campaign,2024-11-05,Premium,Social Media,1559,418,26.81,68,16.27,1457.88,2156.09,1.48
989534,Referral Program,2024-11-05,New Users,SMS,3838,911,23.74,45,4.94,4808.64,8074.17,1.68
243346,New User Discount,2024-11-04,Inactive,SMS,6289,834,13.26,14,1.68,3746.35,4474.02,1.19
775791,Weekend Special,2024-11-04,Inactive,App,1068,496,46.44,87,17.54,1043.7,9535.85,9.14
178345,Festival Offer,2024-11-04,Inactive,Social Media,4229,914,21.61,84,9.19,1370.63,3521.16,2.57
60966,Flash Sale,2024-11-04,Inactive,App,2712,161,5.94,89,55.28,4870.23,2626.78,0.54
209071,Membership Drive,2024-11-04,New Users,Social Media,9365,753,8.04,53,7.04,3817.01,7072.56,1.85
712164,Category Promotion,2024-11-04,All,App,4813,321,6.67,88,27.41,2512.51,6494.09,2.58
301304,App Push Notification,2024-11-04,Inactive,Social Media,8840,466,5.27,24,5.15,1776.92,5356.59,3.01
755362,Email Campaign,2024-11-04,Inactive,App,7409,949,12.81,99,10.43,1599.21,7907.75,4.94
362255,Referral Program,2024-11-04,Premium,SMS,1997,599,29.99,92,15.36,3328.47,2278.39,0.68
538453,New User Discount,2024-11-03,New Users,Social Media,9594,692,7.21,58,8.38,3712.46,2591.79,0.70
146888,Weekend Special,2024-11-03,New Users,Email,8974,799,8.90,64,8.01,4907.38,9623.97,1.96
36202,Festival Offer,2024-11-03,New Users,Email,7102,858,12.08,53,6.18,1454.23,8523.27,5.86
232494,Flash Sale,2024-11-03,All,Social Media,9487,109,1.15,54,49.54,1364.19,5855.87,4.29
757108,Membership Drive,2024-11-03,Inactive,Email,5922,258,4.36,41,15.89,1815.23,9798.33,5.40
294530,Category Promotion,2024-11-03,All,App,4630,860,18.57,76,8.84,4337.91,3326.76,0.77
627085,App Push Notification,2024-11-03,All,Email,6291,130,2.07,66,50.77,4644.01,2649.48,0.57
954798,Email Campaign,2024-11-03,All,Email,6347,737,11.61,100,13.57,2352.91,5816.29,2.47
675313,Referral Program,2024-11-03,New Users,Email,2465,560,22.72,60,10.71,4857.36,2528.08,0.52
588949,New User Discount,2024-11-02,Premium,App,7171,211,2.94,22,10.43,3120.88,8989.36,2.88
137874,Weekend Special,2024-11-02,All,App,6082,497,8.17,59,11.87,1897.04,3654.1,1.93
674904,Festival Offer,2024-11-02,New Users,Social Media,3297,613,18.59,19,3.10,3819.45,2007.51,0.53
783220,Flash Sale,2024-11-02,Inactive,App,5550,633,11.41,12,1.90,1947.14,3460.9,1.78
877083,Membership Drive,2024-11-02,Premium,SMS,3446,155,4.50,51,32.90,3415.84,8018.45,2.35
228966,Category Promotion,2024-11-02,Premium,SMS,8998,632,7.02,55,8.70,4905.7,8801.61,1.79
531307,App Push Notification,2024-11-02,All,App,7562,975,12.89,73,7.49,2298.76,7097.94,3.09
51098,Email Campaign,2024-11-02,New Users,SMS,1423,802,56.36,40,4.99,1818.73,4672.26,2.57
501568,Referral Program,2024-11-02,Premium,Email,7215,508,7.04,25,4.92,2202.62,3845.1,1.75
703072,New User Discount,2024-11-01,All,App,4360,724,16.61,38,5.25,1905.02,4231.84,2.22
978279,Weekend Special,2024-11-01,All,Email,9713,686,7.06,94,13.70,2062.29,9160.3,4.44
350042,Festival Offer,2024-11-01,All,Email,5538,362,6.54,51,14.09,2486.88,9687.96,3.90
675128,Flash Sale,2024-11-01,New Users,App,8141,828,10.17,37,4.47,4123.86,3539.73,0.86
439725,Membership Drive,2024-11-01,Inactive,SMS,4249,945,22.24,87,9.21,1330.62,3115.55,2.34
39545,Category Promotion,2024-11-01,All,SMS,1489,317,21.29,95,29.97,2527.82,9966.89,3.94
473315,App Push Notification,2024-11-01,New Users,Email,5817,987,16.97,53,5.37,4371.4,5119.87,1.17
789925,Email Campaign,2024-11-01,Inactive,Email,9893,751,7.59,88,11.72,3569,6649.77,1.86
249657,Referral Program,2024-11-01,All,Email,6898,977,14.16,15,1.54,4874.26,3343.94,0.69
795261,New User Discount,2024-10-31,New Users,Email,7876,977,12.40,73,7.47,1813.53,6438.12,3.55
601445,Weekend Special,2024-10-31,Inactive,SMS,5624,386,6.86,70,18.13,3572.92,5202.67,1.46
830587,Festival Offer,2024-10-31,Inactive,App,1081,662,61.24,47,7.10,2001.9,3301.92,1.65
706750,Flash Sale,2024-10-31,Premium,App,4511,338,7.49,27,7.99,1645.66,2073.23,1.26
584256,Membership Drive,2024-10-31,Inactive,SMS,1810,750,41.44,44,5.87,1279.23,5722.42,4.47
886076,Category Promotion,2024-10-31,Premium,SMS,3930,591,15.04,25,4.23,4678.74,5102.75,1.09
855895,App Push Notification,2024-10-31,Premium,Email,8796,873,9.92,86,9.85,2339.85,3999.7,1.71
514715,Email Campaign,2024-10-31,New Users,App,2341,369,15.76,38,10.30,2721.86,2480.73,0.91
741376,Referral Program,2024-10-31,Premium,Email,9694,799,8.24,32,4.01,3162.72,8424.83,2.66
347837,New User Discount,2024-10-30,All,Email,8433,551,6.53,97,17.60,2510.51,7701.36,3.07
